traded_comp,transaction_num,max_price,min_price,closing_price,traded_shares,traded_amount,pre_closing,diff_rs
10% Nepal SBI Bank Debenture 2086,1,1000.00,1000.00,1000.00,50.00,50000.00,1015.00,-15.00
10.25% GLOBAL IME BANK LTD. DEBENTURE 2080/81,2,1021.00,1010.00,1021.00,75.00,76025.00,1029.00,-8.00
10.25% KBL Debenture 2086,1,1050.00,1050.00,1050.00,30.00,31500.00,1050.00,0.00
10.25% NIC Asia Debenture 2083/84,1,1023.00,1023.00,1023.00,25.00,25575.00,1023.00,0.00
10.25% Sunrise Bank Debenture 2083,1,1020.00,1020.00,1020.00,50.00,51000.00,1010.00,10.00
Agriculture Development Bank Limited,156,440.00,435.00,439.00,17254.00,7569999.00,436.00,3.00
Ajod Insurance Limited,789,522.00,502.00,518.00,19929.00,10265273.00,507.00,11.00
Ankhu Khola Jalvidhyut Company Ltd,744,132.00,115.00,118.00,25330.00,3087400.00,122.00,-4.00
Api Power Company Ltd.,616,205.00,192.00,194.00,206307.00,40526233.00,200.00,-6.00
Arun Kabeli Power Ltd.,539,245.00,232.00,236.00,214757.00,50928322.00,243.00,-7.00
Arun Valley Hydropower Development Co. Ltd.,924,234.00,211.00,229.00,544570.00,123081612.00,214.00,15.00
Asha Laghubitta Bittiya Sanstha Ltd,70,845.00,830.00,840.00,1645.00,1382330.00,839.00,1.00
Asian Life Insurance Co. Limited,130,742.00,725.00,741.00,29936.00,22030380.00,720.00,21.00
Bank of Kathmandu Ltd.,2145,283.00,265.00,282.00,535005.00,147656039.00,258.00,24.00
Barun Hydropower Co. Ltd.,255,170.00,157.00,157.00,63615.00,10157951.00,165.00,-8.00
Best Finance Company Ltd.,106,141.00,131.00,136.00,24656.00,3298008.00,135.00,1.00
Bottlers Nepal (Terai) Limited,4,6696.00,6581.00,6610.00,66.00,437140.00,6570.00,40.00
Butwal Power Company Limited,288,407.00,396.00,401.00,42918.00,17162302.00,403.00,-2.00
Central Finance Co. Ltd.,42,170.00,156.00,160.00,18113.00,2896432.00,162.00,-2.00
Century Commercial Bank Ltd.,303,192.00,186.00,188.00,111734.00,21168501.00,187.00,1.00
Chhimek Laghubitta Bikas Bank Limited,80,1129.00,1108.00,1122.00,10167.00,11408281.00,1111.00,11.00
Chhyangdi Hydropower Ltd.,125,155.00,142.00,145.00,19971.00,2945028.00,149.00,-4.00
Chilime Hydropower Company Limited,168,514.00,500.00,510.00,39032.00,19781648.00,510.00,0.00
Citizen Bank International Limited,375,215.00,210.00,214.00,110411.00,23517948.00,209.00,5.00
Citizen Investment Trust,126,3500.00,3465.00,3479.00,4919.00,17134216.00,3469.00,10.00
Citizens Mutual Fund -1,30,10.14,9.55,10.11,61800.00,606583.00,9.95,0.16
Civil Bank Ltd,252,177.00,164.00,167.00,100439.00,16840122.00,169.00,-2.00
Civil Laghubitta Bittiya Sanstha Ltd.,22,705.00,687.00,704.00,1445.00,1006444.00,699.00,5.00
Corporate Development Bank Limited,48,183.00,167.00,183.00,6510.00,1171590.00,167.00,16.00
Deprosc Laghubitta Bittiya Sanstha Limited,62,870.00,851.00,865.00,7562.00,6526183.00,855.00,10.00
Dibyashwori Hydropower Ltd.,163,115.00,110.00,115.00,20122.00,2304805.00,105.00,10.00
Everest Bank Limited,108,734.00,720.00,728.00,8997.00,6527618.00,720.00,8.00
Everest Insurance Co. Ltd.,286,560.00,526.00,556.00,45387.00,24844010.00,526.00,30.00
Excel Development Bank Ltd.,49,314.00,307.00,310.00,9460.00,2930597.00,308.00,2.00
First Micro Finance Development Bank Ltd.,161,589.00,570.00,586.00,28624.00,16643604.00,573.00,13.00
Forward Community Microfinance Bittiya Sanstha Ltd.,30,1570.00,1545.00,1563.00,1395.00,2171642.00,1554.00,9.00
Ganapati Microfinance Bittiya Sanstha Limited,47,840.00,805.00,837.00,1065.00,874639.00,812.00,25.00
Garima Bikas Bank Limited,275,255.00,246.00,252.00,62932.00,15854530.00,246.00,6.00
Ghalemdi Hydro Limited,449,134.00,118.00,123.00,18391.00,2369344.00,122.00,1.00
Ghodighoda Laghubitta Bittiya Sanstha Ltd.,20,800.00,785.00,793.00,340.00,269160.00,797.00,-4.00
Global IME Bank Limited,495,272.00,265.00,272.00,106995.00,28860825.00,265.00,7.00
Global IME Laghubitta Bittiya Sanstha Ltd.,34,1200.00,1182.00,1190.00,1696.00,2024868.00,1164.00,26.00
Global IME Samunnat Scheme-1,14,9.44,9.20,9.34,46018.00,430557.40,9.26,0.08
Goodwill Finance Co. Ltd.,58,186.00,181.00,185.00,15585.00,2856721.00,183.00,2.00
Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,157,536.00,518.00,533.00,9688.00,5152251.00,520.00,13.00
Green Development Bank Ltd.,222,152.00,138.00,149.00,35055.00,5184669.00,139.00,10.00
Guheshowori Merchant Bank & Finance Co. Ltd.,43,166.00,159.00,163.00,11386.00,1839544.00,163.00,0.00
Gurans Laghubitta Bittiya Sanstha Limited,30,750.00,726.00,746.00,710.00,523430.00,740.00,6.00
Gurans Life Insurance Company Ltd.,182,636.00,613.00,636.00,28461.00,17876728.00,611.00,25.00
Gurkhas Finance Ltd.,84,145.00,140.00,142.00,51717.00,7310378.00,138.00,4.00
Himal Dolakha Hydropower Company Limited,1104,142.00,123.00,125.00,360149.00,47058118.00,130.00,-5.00
Himalaya Urja Bikas Company Limited,339,161.00,147.00,147.00,23647.00,3574785.00,157.00,-10.00
Himalayan Bank Limited,67,567.00,559.00,565.00,6860.00,3867897.00,556.00,9.00
Himalayan Distillery Limited,91,1825.00,1782.00,1820.00,10138.00,18318250.00,1774.00,46.00
Himalayan General Insurance Co. Ltd,271,529.00,505.00,526.00,50637.00,26215577.00,500.00,26.00
Himalayan Power Partner Ltd.,301,200.00,195.00,195.00,13037.00,2568410.00,203.00,-8.00
Hydorelectricity Investment and Development Company Ltd,400,180.00,172.00,174.00,137147.00,24015372.00,178.00,-4.00
ICFC Finance Limited,93,204.00,197.00,200.00,26367.00,5277026.00,197.00,3.00
IME General Insurance Ltd.,48,559.00,532.00,557.00,7298.00,4020028.00,537.00,20.00
Infinity Laghubitta Bittiya Sanstha Limited,83,836.00,805.00,824.00,918.00,750715.00,820.00,4.00
Janaki Finance Ltd.,59,203.00,198.00,200.00,15967.00,3206544.00,200.00,0.00
Janautthan Samudayic Laghubitta Bikas Bank Ltd.,25,1365.00,1352.00,1354.00,919.00,1246590.00,1373.00,-19.00
Joshi Hydropower Development Company Ltd,672,133.00,118.00,119.00,40465.00,5087747.00,121.00,-2.00
Jyoti Bikas Bank Limited,543,192.00,184.00,192.00,163647.00,30910386.00,184.00,8.00
Kalika Microcredit Development Bank Ltd.,93,748.00,731.00,735.00,3839.00,2828055.00,734.00,1.00
Kalika power Company Ltd,478,172.00,161.00,161.00,24620.00,4037890.00,169.00,-8.00
Kamana Sewa Bikas Bank Limited,898,205.00,188.00,205.00,336568.00,67280742.00,187.00,18.00
Karnali Development Bank Limited,258,140.00,128.00,135.00,56384.00,7624773.00,129.00,6.00
Khanikhola Hydropower Co. Ltd.,322,127.00,116.00,117.00,17556.00,2141528.00,116.00,1.00
Kumari Bank Limited,597,220.00,202.00,217.00,312769.00,67584847.00,212.00,5.00
Laxmi Bank Limited,238,256.00,246.00,250.00,97550.00,24457495.00,246.00,4.00
Laxmi Equity Fund,5,8.85,8.68,8.85,7000.00,61240.00,8.85,0.00
Laxmi Laghubitta Bittiya Sanstha Ltd.,18,1133.00,1092.00,1126.00,533.00,592821.00,1098.00,28.00
Laxmi Unnati Kosh,29,8.95,8.83,8.95,15010.00,133857.30,8.91,0.04
Liberty Energy Company Limited,1022,218.00,203.00,204.00,28932.00,5951065.00,210.00,-6.00
Life Insurance Co. Nepal,25,1487.00,1465.00,1475.00,2701.00,3971031.00,1459.00,16.00
Lumbini Bikas Bank Ltd.,366,201.00,196.00,200.00,107378.00,21368827.00,193.00,7.00
Lumbini General Insurance Co. Ltd.,135,550.00,526.00,550.00,18061.00,9763834.00,527.00,23.00
Machhapuchhre Bank Limited,365,241.00,236.00,239.00,103835.00,24757786.00,233.00,6.00
Mahalaxmi Bikas Bank Ltd.,174,213.00,209.00,212.00,45035.00,9507893.00,207.00,5.00
Mahila Sahayatra Microfinance Bittiya Sanstha Ltd.,24,705.00,675.00,705.00,481.00,332795.00,675.00,30.00
Manjushree Finance Ltd.,70,309.00,303.00,304.00,22911.00,6983960.00,305.00,-1.00
Mega  Bank Nepal Ltd.,324,235.00,223.00,228.00,104273.00,23677403.00,224.00,4.00
Mero Microfinance Bittiya Sanstha Ltd.,131,769.00,741.00,761.00,13692.00,10398152.00,748.00,13.00
Mirmire Microfinance Development Bank Ltd.,26,935.00,918.00,923.00,1508.00,1389304.00,910.00,13.00
Miteri Development Bank Limited,60,369.00,355.00,365.00,15438.00,5595509.00,357.00,8.00
Mithila LaghuBitta Bittiya Sanstha Limited,11,755.00,749.00,755.00,599.00,450206.00,743.00,12.00
Mountain Hydro Nepal Limited,318,150.00,138.00,138.00,17665.00,2522630.00,153.00,-15.00
Muktinath Bikas Bank Ltd.,233,336.00,325.00,333.00,48105.00,15899897.00,325.00,8.00
Multipurpose Finance Company  Limited,285,137.00,125.00,137.00,123747.00,16395184.00,125.00,12.00
NABIL BALANCED FUND-2,40,8.97,8.77,8.97,40950.00,361031.00,8.90,0.07
Nabil Bank Limited,287,869.00,860.00,867.00,30640.00,26539772.00,859.00,8.00
Nabil Equity Fund,45,9.05,8.72,8.90,75947.00,678011.05,8.73,0.17
Nadep Laghubittiya bittya Sanstha Ltd.,65,698.00,681.00,683.00,4314.00,2965009.00,697.00,-14.00
National Hydro Power Company Limited,1308,107.00,100.00,104.00,589422.00,61442879.00,98.00,6.00
National Life Insurance Co. Ltd.,182,782.00,757.00,771.00,41143.00,31527561.00,757.00,14.00
National Life Insurance Co. Ltd. Promoter Share,1,418.00,418.00,418.00,10000.00,4180000.00,418.00,0.00
National Microfinance Bittiya Sanstha Ltd.,42,1570.00,1515.00,1570.00,1440.00,2222985.00,1544.00,26.00
Neco Insurance Co. Ltd.,419,840.00,810.00,840.00,93826.00,77991892.00,813.00,27.00
Nepal Bangladesh Bank Limited,509,221.00,202.00,220.00,224691.00,49105793.00,212.00,8.00
Nepal Bank Limited,477,329.00,325.00,326.00,190612.00,62289713.00,326.00,0.00
Nepal Credit And Commercial Bank Limited,491,226.00,216.00,223.00,244766.00,54172021.00,218.00,5.00
Nepal Doorsanchar Comapany Limited,63,705.00,699.00,701.00,4485.00,3146103.00,702.00,-1.00
Nepal Finance Ltd.,62,251.00,240.00,240.00,7205.00,1760395.00,244.00,-4.00
Nepal Hydro Developers Ltd.,78,213.00,208.00,210.00,5000.00,1053870.00,216.00,-6.00
Nepal Insurance Co. Ltd.,211,574.00,551.00,573.00,46695.00,26454265.00,555.00,18.00
Nepal Investment Bank Limited,287,425.00,416.00,420.00,51814.00,21794353.00,418.00,2.00
Nepal Investment Bank Ltd. Promoter Share,25,365.00,360.00,360.00,13760.00,4968524.00,358.00,2.00
Nepal Life Insurance Co. Ltd.,355,1380.00,1367.00,1375.00,35173.00,48310452.00,1365.00,10.00
Nepal Reinsurance Company Limited,1439,870.00,850.00,863.00,97600.00,84173747.00,851.00,12.00
Nepal SBI Bank Limited,87,433.00,425.00,430.00,20032.00,8570705.00,424.00,6.00
Nepal Seva Laghubitta Bittiya Sanstha Ltd.,29,706.00,670.00,706.00,440.00,304490.00,680.00,26.00
Nerude Laghubita Bikas Bank Limited,21,772.00,756.00,757.00,2194.00,1668720.00,762.00,-5.00
Ngadi Group Power Ltd.,185,187.00,175.00,176.00,44458.00,7942474.00,179.00,-3.00
NIBL Pragati Fund,14,9.00,8.81,8.95,46598.00,415514.97,8.96,-0.01
NIC Asia Balanced Fund,8,8.90,8.78,8.90,3500.00,30808.00,8.80,0.10
NIC Asia Bank Ltd.,338,582.00,571.00,579.00,73645.00,42485200.00,571.00,8.00
NIC Asia Growth Fund,4,9.60,9.60,9.60,1000.00,9600.00,9.60,0.00
Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,52,977.00,966.00,966.00,2530.00,2455325.00,970.00,-4.00
NLG Insurance Company Ltd.,156,730.00,696.00,730.00,17835.00,12702154.00,699.00,31.00
NMB  Microfinance Bittiya Sanstha Ltd.,22,840.00,828.00,834.00,2235.00,1855897.00,832.00,2.00
NMB 50,3,9.66,9.47,9.47,950.00,9034.50,9.48,-0.01
NMB Bank Limited,489,435.00,412.00,416.00,89254.00,37200566.00,415.00,1.00
NMB Hybrid Fund L-1,26,10.14,9.95,10.00,56787.00,569065.45,10.10,-0.10
NRN Infrastructure and Development Limited,1142,377.00,352.00,359.00,30235.00,10918760.00,357.00,2.00
NRN Lagubitta Bittiya Sanstha Limited,27,1060.00,1034.00,1055.00,2046.00,2155481.00,1034.00,21.00
Oriental Hotels Limited,24,390.00,383.00,387.00,6142.00,2376315.00,385.00,2.00
Panchakanya Mai Hydropower Ltd,427,153.00,139.00,140.00,14670.00,2118770.00,150.00,-10.00
Panchthar Power Compant Limited,395,173.00,165.00,166.00,23410.00,3977472.00,168.00,-2.00
Pokhara Finance Ltd.,133,183.00,170.00,174.00,12941.00,2265425.00,180.00,-6.00
Prabhu  Bank Limited,562,245.00,227.00,244.00,263284.00,63699411.00,238.00,6.00
Prabhu Insurance Ltd.,282,617.00,591.00,616.00,51144.00,31158096.00,590.00,26.00
Premier Insurance Co. Ltd.,450,810.00,767.00,802.00,65029.00,51920427.00,771.00,31.00
Prime Commercial Bank Ltd.,310,292.00,286.00,292.00,83947.00,24358728.00,286.00,6.00
Prime Life Insurance Company Limited,206,670.00,640.00,668.00,38158.00,25238610.00,646.00,22.00
ProgressiveFinance Limited,85,127.00,119.00,127.00,38046.00,4666072.00,121.00,6.00
Prudential Insurance Co. Ltd.,135,550.00,525.00,548.00,16551.00,8995274.00,526.00,22.00
Radhi Bidyut Company Ltd,144,262.00,245.00,255.00,2842.00,713314.00,257.00,-2.00
Rairang Hydropower Development Company Ltd.,319,180.00,160.00,160.00,27142.00,4621792.00,169.00,-9.00
Rastriya Beema Company Limited,28,11780.00,11344.00,11680.00,421.00,4898735.00,11122.00,558.00
Rastriya Beema Company Limited Promoter Share,31,10500.00,10220.00,10330.00,722.00,7509466.00,10150.00,180.00
RASUWAGADHI HYDROPOWER COMPANY LIMITED,644,192.00,186.00,186.00,58696.00,11095122.00,192.00,-6.00
Reliance Finance Ltd.,107,168.00,158.00,168.00,37462.00,6129959.00,163.00,5.00
Reliance Life Insurance Limited,3314,647.00,615.00,630.00,47051.00,29706996.00,621.00,9.00
Ridi Hydropower Development Company Ltd.,255,160.00,146.00,147.00,64589.00,9641297.00,153.00,-6.00
RMDC Laghubitta Bittiya Sanstha Ltd.,96,854.00,840.00,854.00,7945.00,6720724.00,842.00,12.00
RSDC Laghubitta Bittiya Sanstha Ltd.,97,566.00,535.00,556.00,7123.00,3949118.00,545.00,11.00
SABAIKO LAGHUBITTA BITTIYA SANSTHA LIMITED,80,887.00,834.00,887.00,1919.00,1633562.00,850.00,37.00
Sadhana Laghubitta Bittiya Sanstha Limited,214,834.00,816.00,830.00,3700.00,3044960.00,815.00,15.00
Sagarmatha Insurance Co. Ltd.,81,940.00,905.00,940.00,10693.00,9897187.00,906.00,34.00
Salt Trading Corporation,12,3543.00,3466.00,3480.00,370.00,1287500.00,3406.00,74.00
Samriddhi Finance Company Limited,86,132.00,128.00,130.00,14991.00,1947658.00,128.00,2.00
Samudayik Laghubitta Bittiya Sanstha Limited,49,800.00,775.00,787.00,1240.00,979005.00,780.00,7.00
Sana Kisan Bikas Bank Ltd,106,1390.00,1370.00,1381.00,9667.00,13353328.00,1380.00,1.00
Sanima Bank Limited,203,345.00,339.00,341.00,34784.00,11919952.00,339.00,2.00
Sanima Bank Limited Debenture,2,1015.00,1000.00,1015.00,50.00,50375.00,1005.00,10.00
Sanima Equity Fund,22,10.51,10.21,10.48,31660.00,332137.60,10.40,0.08
Sanima Mai Hydropower Ltd.,209,297.00,288.00,290.00,102651.00,29833969.00,292.00,-2.00
SANJEN JALAVIDHYUT COMPANY LIMITED,656,181.00,172.00,173.00,74433.00,13080760.00,181.00,-8.00
Saptakoshi Development Bank Ltd,217,165.00,149.00,165.00,64341.00,10214172.00,150.00,15.00
Shangrila Development Bank Ltd.,312,181.00,164.00,177.00,119268.00,20784376.00,167.00,10.00
Shikhar Insurance Co. Ltd.,558,1383.00,1319.00,1375.00,99031.00,134712727.00,1318.00,57.00
Shine Resunga Development Bank Ltd.,210,253.00,248.00,251.00,44998.00,11291293.00,249.00,2.00
SHIVAM CEMENTS LTD,525,767.00,728.00,758.00,83583.00,62849515.00,731.00,27.00
Shree Investment Finance Co. Ltd.,164,188.00,180.00,188.00,111603.00,20699437.00,179.00,9.00
Siddhartha Bank Limited,238,319.00,312.00,317.00,54912.00,17401721.00,313.00,4.00
Siddhartha Equity Fund,21,9.30,9.02,9.17,44010.00,407036.00,9.12,0.05
Siddhartha Insurance Ltd.,134,772.00,731.00,772.00,29055.00,22010689.00,737.00,35.00
Sindhu Bikash Bank Ltd,85,153.00,146.00,149.00,16781.00,2501959.00,150.00,-1.00
Soaltee Hotel Limited,92,191.00,184.00,185.00,32732.00,6145613.00,184.00,1.00
Sparsha Laghubitta Bittiya Sanstha Limited,57,960.00,933.00,960.00,1273.00,1208082.00,944.00,16.00
Standard Chartered Bank Limited,157,668.00,657.00,662.00,9365.00,6207813.00,655.00,7.00
Sunrise Bank Limited,202,246.00,237.00,245.00,88944.00,21681075.00,239.00,6.00
Sunrise First Mutual Fund,6,9.69,9.50,9.69,25700.00,245140.00,9.64,0.05
Support Microfinance Bittiya Sanstha Ltd.,25,865.00,834.00,865.00,401.00,340411.00,850.00,15.00
Surya Life Insurance Company Limited,283,628.00,605.00,624.00,53806.00,33396628.00,608.00,16.00
Suryodaya Laghubitta Bittiya Sanstha Ltd.,20,950.00,926.00,938.00,450.00,422735.00,942.00,-4.00
Swabalamban Laghubitta Bittiya Sanstha Limited,28,1263.00,1244.00,1250.00,2428.00,3029015.00,1243.00,7.00
Swabhimaan Laghubitta Bittiya Sanstha Limited,18,960.00,946.00,956.00,190.00,181320.00,951.00,5.00
Swarojgar Laghu Bitta Bikas Bank Ltd.,37,872.00,836.00,860.00,3113.00,2663115.00,838.00,22.00
Synergy Power Development Ltd.,282,216.00,205.00,208.00,113722.00,23805212.00,212.00,-4.00
Taragaon Regency Hotel Limited,45,253.00,248.00,248.00,8242.00,2060266.00,248.00,0.00
Tinau Mission Development Bank Limited,111,192.00,183.00,190.00,35608.00,6680992.00,181.00,9.00
Unilever Nepal Limited,4,18200.00,17880.00,17900.00,45.00,808210.00,18200.00,-300.00
Union Hydropower Limited,547,126.00,108.00,122.00,75137.00,9097561.00,115.00,7.00
United Finance Ltd.,62,268.00,248.00,255.00,10022.00,2518547.00,256.00,-1.00
United Insurance Co. (Nepal) Ltd.,263,442.00,423.00,442.00,45557.00,19827337.00,423.00,19.00
United Modi Hydropower Ltd.,201,155.00,145.00,147.00,23726.00,3564550.00,155.00,-8.00
UNIVERSAL POWER COMPANY LTD,821,137.00,124.00,126.00,169185.00,21586683.00,134.00,-8.00
Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,39,1100.00,1060.00,1099.00,1105.00,1200882.00,1080.00,19.00
Upper Tamakoshi Hydropower Ltd,567,294.00,281.00,282.00,98999.00,28130825.00,289.00,-7.00
Vijaya laghubitta Bittiya Sanstha Ltd.,35,923.00,910.00,915.00,1072.00,983358.00,910.00,5.00
